var1,var2,var3,var4,var5,var6,mf
581.5206,7881,1.7,227,0.1,0.0738,C42H3N3O2
581.9987,15015,1.9,258,0.1,0.0388,C31H63N7O3
582.4651,12389,2.8,370,0.2,0.047,C34H2N2O9
582.535,13850,1.8,240,0.1,0.0421,C34H2N10O2
582.9935,20649,2.6,352,0.2,0.0282,C30H62N8O3
583.4645,10180,2.3,305,0.1,0.0573,C33HN3O9
583.5355,14548,2.8,374,0.2,0.0401,C42H5N3O2
583.9683,9392,1.7,224,0.1,0.0622,C32H57N9O
584.0031,35952,2.3,304,0.1,0.0162,C32H65N5O4
584.0107,37896,1.8,248,0.1,0.0154,C42H65N
584.03,12593,1.9,258,0.1,0.0464,C35H65N7
584.0956,11591,1.7,235,0.1,0.0504,C32H73N9
584.4477,13608,2.1,279,0.1,0.0429,C33N2O10
584.4872,15173,1.9,256,0.1,0.0385,C30N8O7
584.535,13072,2.2,295,0.1,0.0447,C29H8N6O9
585.4408,15803,2,265,0.1,0.037,C34H3NO10
585.4936,25567,1.8,244,0.1,0.0229,C27H3N7O10
585.5382,10738,2,276,0.1,0.0545,C38H7N3O5
585.9316,19417,1.6,212,0.1,0.0302,C27H55N9O5
585.983,13105,1.7,224,0.1,0.0447,C32H59N9O
586.0159,23273,1.8,244,0.1,0.0252,C32H67N5O4
586.1057,16027,1.9,252,0.1,0.0366,C32H75N9
586.4493,43462,1.6,211,0.1,0.0135,C33H2N2O10
586.4838,19463,1.6,209,0.1,0.0301,C37H2N2O7
586.5177,18690,1.6,220,0.1,0.0314,C33H6N4O8
587.0095,13281,2,272,0.1,0.0442,C42H66O
587.4727,10960,2.5,339,0.2,0.0536,C31HN5O9
588.0072,13651,1.9,250,0.1,0.0431,C30H65N7O4
588.4762,13487,2,265,0.1,0.0436,C35N4O7
588.9931,32677,1.9,253,0.1,0.018,C30H64N6O5
589.0006,122964,1.7,228,0.1,0.0048,C40H64N2O
589.4789,13732,3.2,435,0.2,0.0429,C32H3N3O10
590.0197,16287,2.4,324,0.2,0.0362,C41H67NO
590.4723,14403,2.1,283,0.1,0.041,C31H2N4O10
590.9106,7570,3.2,426,0.2,0.0781,C26H54N8O7
591.0049,9321,1.8,240,0.1,0.0634,C41H66O2
591.3949,13685,2.2,295,0.1,0.0432,C36HNO9
591.4411,16741,3.1,414,0.2,0.0353,C36HNO9
591.4988,7156,2.8,380,0.2,0.0827,C33HN7O6
591.9157,11401,1.8,237,0.1,0.0519,C40H53N3O
592.0217,12889,3.5,479,0.2,0.0459,C37H69NO4
592.4547,14007,2.3,308,0.2,0.0423,C35N2O9
592.8854,10163,5.7,777,0.4,0.0583,C20H52N10O10
593.0231,12880,2.5,333,0.2,0.046,C30H68N6O5
593.4206,123424,1.8,240,0.1,0.0048,C36H3NO9
593.462,10995,2.4,328,0.2,0.054,C36H3NO9
593.512,13180,2,276,0.1,0.045,C32H7N3O10
593.8905,9839,1.8,250,0.1,0.0604,C33H55NO8
594.0004,12700,12.7,1714,0.8,0.0468,C36H67NO5
594.0552,13283,5.5,744,0.4,0.0447,C35H71N5O2
594.4555,10213,1.6,212,0.1,0.0582,C36H2O10
594.5014,61769,1.8,238,0.1,0.0096,C38H2N4O5
594.5087,42070,1.6,217,0.1,0.0141,C32H2N8O6
594.8779,12312,3.8,519,0.3,0.0483,C34H50N4O5
595.0055,9759,4,545,0.3,0.061,C30H62N10O2
595.0667,12677,1.9,254,0.1,0.0469,C33H70N8O
595.4683,38442,2.4,327,0.2,0.0155,C34HN3O9
595.9988,15611,6.3,851,0.4,0.0382,C28H65N7O6
596.4753,10935,2.5,336,0.2,0.0545,C32N6O8
596.5443,15499,1.6,214,0.1,0.0385,C41H4N6O
596.8809,13762,1.6,220,0.1,0.0434,C35H52N2O6
597.0002,11664,2.4,324,0.2,0.0512,C33H60N10
597.5027,15334,1.8,243,0.1,0.039,C27H3N9O9
597.5616,15764,1.5,205,0.1,0.0379,C25H11N9O10
598.0101,14825,2.3,310,0.2,0.0403,C39H67NO3
598.4564,13345,3.7,507,0.2,0.0448,C34H2N2O10
599.0137,21136,1.9,261,0.1,0.0283,C32H66N6O4
599.4546,11730,3.7,499,0.2,0.0511,C33HN3O10
599.5142,16528,2.1,279,0.1,0.0363,C34HN9O4
599.9995,14098,1.5,208,0.1,0.0426,C33H61N9O
600.462,18491,3.2,438,0.2,0.0325,C37N2O8
600.5535,29381,1.7,224,0.1,0.0204,C31H12N4O10
600.9774,17210,2.6,354,0.2,0.0349,C28H60N10O4
601.4752,11859,2.6,351,0.2,0.0507,C33H3N3O10
601.9755,14990,2.1,280,0.1,0.0402,C31H63N5O6
602.0165,28295,1.7,227,0.1,0.0213,C37H67N3O3
602.4867,20727,1.9,253,0.1,0.0291,C31H2N6O9
602.5216,12291,1.9,255,0.1,0.049,C44H2N4O
603.0033,9574,2.5,339,0.2,0.063,C38H62N6
603.4891,11983,2.5,342,0.2,0.0504,C40HN3O5
603.996,11097,2.6,349,0.2,0.0544,C36H65N3O4
604.4729,11759,1.6,220,0.1,0.0514,C40N2O6
604.992,10265,1.9,253,0.1,0.0589,C35H64N4O4
605.4354,14694,2.6,351,0.2,0.0412,C37H3NO9
606.0138,10726,4.2,569,0.3,0.0565,C37H63N7
606.475,9818,1.7,234,0.1,0.0618,C36H2N2O9
607.0324,11510,4.5,618,0.3,0.0527,C37H70N2O4
